date,type,value,unit,model
2024-08-02 10:16:24,8,16.740000000000002,-2,Body Smart
2024-08-02 10:16:24,76,56.96,-2,Body Smart
2024-08-02 10:16:24,77,42.19,-2,Body Smart
2024-08-02 10:16:24,88,2.99,-2,Body Smart
2024-08-02 10:16:24,170,3.1,-1,Body Smart
2024-08-02 10:16:24,226,1742.0,0,Body Smart
2024-08-02 10:16:24,6,21.822,-3,Body Smart
2024-08-02 04:19:30,1,76.937,-3,Body Smart
2024-08-02 04:19:30,5,59.57,-2,Body Smart
2024-08-02 04:19:30,8,17.35,-2,Body Smart
2024-08-02 04:19:30,76,56.6,-2,Body Smart
2024-08-02 04:19:30,77,41.480000000000004,-2,Body Smart
2024-08-02 04:19:30,88,2.97,-2,Body Smart
2024-08-02 04:19:30,170,3.2,-1,Body Smart
2024-08-02 04:19:30,226,1731.0,0,Body Smart
2024-08-02 04:19:30,6,22.551000000000002,-3,Body Smart
2024-08-01 22:14:14,1,77.129,-3,Body Smart
2024-08-01 22:14:14,5,61.07,-2,Body Smart
2024-08-01 22:14:14,8,16.05,-2,Body Smart
2024-08-01 22:14:14,76,58.02,-2,Body Smart
2024-08-01 22:14:14,77,44.04,-2,Body Smart
2024-08-01 22:14:14,88,3.0500000000000003,-2,Body Smart
2024-08-01 22:14:14,170,3.0,-1,Body Smart
2024-08-01 22:14:14,226,1774.0,0,Body Smart
2024-08-01 22:14:14,6,20.809,-3,Body Smart
2024-08-01 15:02:00,1,77.786,-3,Body Smart
2024-08-01 15:02:00,5,61.160000000000004,-2,Body Smart
2024-08-01 15:02:00,8,16.61,-2,Body Smart
2024-08-01 15:02:00,76,58.1,-2,Body Smart
2024-08-01 15:02:00,77,44.26,-2,Body Smart
2024-08-01 15:02:00,88,3.0500000000000003,-2,Body Smart
2024-08-01 15:02:00,170,3.0,-1,Body Smart
2024-08-01 15:02:00,226,1778.0,0,Body Smart
2024-08-01 15:02:00,6,21.353,-3,Body Smart
2024-08-01 04:12:28,1,77.702,-3,Body Smart
2024-08-01 04:12:28,5,60.35,-2,Body Smart
2024-08-01 04:12:28,8,17.34,-2,Body Smart
2024-08-01 04:12:28,76,57.34,-2,Body Smart
2024-08-01 04:12:28,77,42.45,-2,Body Smart
2024-08-01 04:12:28,88,3.0100000000000002,-2,Body Smart
2024-08-01 04:12:28,170,3.2,-1,Body Smart
2024-08-01 04:12:28,226,1755.0,0,Body Smart
2024-08-01 04:12:28,6,22.316,-3,Body Smart
